Key,CurrentName,NewName
38,38,
8cm,8cm,
9x2,9x2,
achumuchi,achumuchi,
actuale,actuale,
almualim,almualim,
alp,alp,
amakaze mellow,amakaze mellow,
andojing,andojing,
announ,announ,
artist:23,23,
artist:ani hakase,ani hakase,
artist:asakura shimoichi,asakura shimoichi,
artist:asanagi,asanagi,
artist:ashika,ashika,
artist:asla,asla,
artist:beni shake,beni shake,
artist:bennosuki,bennosuki,
artist:big.g,big.g,
artist:blackgg,blackgg,
artist:chibou,chibou,
artist:chihel,chihel,
artist:croriin,croriin,
artist:easonx,easonx,
artist:emasson,emasson,
artist:fujiyama,fujiyama,
artist:fureshika,fureshika,
artist:gaku,gaku,
artist:hahakigi,hahakigi,
artist:haiba nemumi,haiba nemumi,
artist:hijiki senpai,hijiki senpai,
artist:horori,horori,
artist:hyouta,hyouta,
artist:inui nuinu,inui nuinu,
artist:issi-13,issi-13,
artist:jenigata,jenigata,
artist:juna juna juice,juna juna juice,
artist:k-you,k-you,
artist:kameyama shiruko,kameyama shiruko,
artist:karaage-chan,karaage-chan,
artist:kase daiki,kase daiki,
artist:kashima,kashima,
artist:katsurai yoshiaki,katsurai yoshiaki,
artist:kawasaki,kawasaki,
artist:kayumidome,kayumidome,
artist:kemigawa mondo,kemigawa mondo,
artist:kirin kakeru,kirin kakeru,
artist:kome cola,kome cola,
artist:kono,kono,
artist:lollipopcon,lollipopcon,
artist:madbull,madbull,
artist:meisuke,meisuke,
artist:mirei,mirei,
artist:morimiya masayuki,morimiya masayuki,
artist:motsuaki,motsuaki,
artist:murabito toufuten,murabito toufuten,
artist:nagaikusa,nagaikusa,
artist:nako sir,nako sir,
artist:nanohana,nanohana,
artist:natsuzo,natsuzo,
artist:nijiiro guin,nijiiro guin,
artist:ninoko,ninoko,
artist:nobeji kazuwo,nobeji kazuwo,
artist:onigirikao,onigirikao,
artist:paio,paio,
artist:panic america,panic america,
artist:papipukepo,papipukepo,
artist:paya8,paya8,
artist:puranpuman,puranpuman,
artist:rabu,rabu,
artist:rara8,rara8,
artist:rororo,rororo,
artist:ryoma,ryoma,
artist:sabaziba gonpachiro,sabaziba gonpachiro,
artist:sage joh,sage joh,
artist:sakida saki,sakida saki,
artist:sakokichi,sakokichi,
artist:shake,shake,
artist:shake chazuke,shake chazuke,
artist:shanai neet,shanai neet,
artist:shikoto tanetsuke,shikoto tanetsuke,
artist:shiniku haguki,shiniku haguki,
artist:shioroku,shioroku,
artist:shitappa,shitappa,
artist:the kite,the kite,
artist:todoroki kangoku,todoroki kangoku,
artist:tottotonero tarou.,tottotonero tarou.,
artist:try,try,
artist:uraaka 18,uraaka 18,
artist:wakura,wakura,
artist:xipa,xipa,
artist:yasashii naizou,yasashii naizou,
artist:yoko juusuke,yoko juusuke,
artist:yucchris,yucchris,
artist:zarameccho,zarameccho,
aruva,aruva,
atahuta,atahuta,
bakachikubi,bakachikubi,
bbbs,bbbs,
blue gk,blue gk,
boole,boole,
c.r,c.r,
cai pi jun,cai pi jun,
cgu,cgu,
chae,chae,
cham22,cham22,
chapa kari,chapa kari,
cherachera,cherachera,
chilt,chilt,
cle masahiro,cle masahiro,
ctrlz77,ctrlz77,
cyberboi,cyberboi,
dam,dam,
danpacino,danpacino,
deadflow,Deadflow（Б）,
dokurosan,dokurosan,
dr.p,dr.p,
drossel,drossel,
eroi-roe,eroi-roe,
etuzan jakusui,etuzan jakusui,
f.w.zholic,f.w.zholic,
fukurou,fukurou,
ginen,ginen,
grimgrim,grimgrim,
group:asuka shinozaki,asuka shinozaki,
group:hitsuji to kitsune,hitsuji to kitsune,
group:kuruto,kuruto,
group:nana no moe,nana no moe,
group:ryuushikei,ryuushikei,
group:seisui bar,seisui bar,
group:shirasudon,shirasudon,
group:tokumori hanten,tokumori hanten,
group:toropucchi,toropucchi,
group:yama danchi,yama danchi,
group:yumemakura,yumemakura,
group:zatsuyou elixir,zatsuyou elixir,
gumimi,gumimi,
gx,gx,
gyt,gyt,
hanabi,hanabi,
hatsuden pengin,hatsuden pengin,
hayashi cherry,hayashi cherry,
hellap,hellap,
hibacha,hibacha,
hidebou,hidebou,
hirasawa zen,hirasawa zen,
hiro.,hiro.,
ie,ie,
inu,inu,
jebjebbz,jebjebbz,
jewel,jewel,
jils,jils,
joucho,joucho,
k8on,k8on,
kanta,kanta,
kikunosukemaru,kikunosukemaru,
kim toxic,kim toxic,
kitsune,kitsune,
kkan,kkan,
koto,koto,
kotoyoshi yumisuke,kotoyoshi yumisuke,
kuribayashi chris,kuribayashi chris,
kurukuru,kurukuru,
kuutamo,kuutamo,
laliberte,laliberte,
liyoosa,liyoosa,
mankai kaika,mankai kaika,
marasca no oni,marasca no oni,
maruco,maruco,
meccha,meccha,
mie shi jian long,mie shi jian long,
mikage,mikage,
mint no chicchai oana,mint no chicchai oana1,
miyu,miyu,
mmchair,mmchair,
momiyama,momiyama,
moon,moon,
mucc,mucc,
nanae,nanae,
negresco,negresco,
neko samurai,neko samurai,
nemu,nemu,
nemuneko,nemuneko,
niche,niche,
nicoby,nicoby,
nigiri usagi,nigiri usagi,
niihai chikuwa,niihai chikuwa,
nodo,nodo,
nohito,nohito,
norino,norino,
nusmusbim,nusmusbim,
nyangboob,nyangboob,
obui,obui,
odd,odd,
ojo,ojo,
on fan,on fan,
oroboy,oroboy,
oshinobu,oshinobu,
otochichi,otochichi,
oza,oza,
piccione,piccione,
poper,poper,
prime,prime,
qr,qr,
r-one,r-one,
raidon,raidon,
rapscallion,rapscallion,
rasuni,rasuni,
rat,rat,
ratatatat74,ratatatat74,
remu,remu,
sakagaki,sakagaki,
sakai,sakai,
sakuram,sakuram,
same manma,same manma,
sankaku noel,sankaku noel,
shamidou maichimonji,shamidou maichimonji,
shidaidaka,shidaidaka,
shiina kazuki,shiina kazuki,
shiva,shiva,
sian,sian,
sigma,Σ,
sleep-zzz,sleep-zzz,
spiritus tarou,spiritus tarou,
ssa,ssa,
superbad,superbad,
tai0201,tai0201,
takeda hiromitsu,takeda hiromitsu,
thomas,thomas,
toratora,toratora,
tsukunendo,tsukunendo,
yac,yac,
yuu,yuu,
z-ton,z-ton,
